event_id,target_date,window_id,rolling_step,radius_km,naive_radius_km,candidate_count,model_candidate_count,naive_candidate_count,model_alert_count,naive_alert_count,model_true_alert_count,naive_true_alert_count,model_precision,naive_precision,alert_reduction_vs_naive,dropped_previous_alerts,dropped_previous_2km_alerts,ap,auc,fixed_3day_naive_alert_count,fixed_3day_naive_true_alert_count,fixed_3day_naive_precision,final_day_model_alert_count,final_day_model_true_alert_count,final_day_model_precision,final_day_alert_reduction_vs_fixed_naive
fire_24025610,2020-06-06,fire_24025610_2020-06-04_2020-06-06,2,4.0,4.0,492,426,426,0,426,0,2,0.0,0.004694835680751174,1.0,5,5,0.45,0.9952830188679246,396.0,0.0,0.0,0.0,0.0,0.0,1.0
fire_24025610,2020-06-05,fire_24025610_2020-06-05_2020-06-07,0,2.0,4.0,482,118,416,5,416,0,3,0.0,0.007211538461538462,0.9879807692307693,0,0,0.17456427015250545,0.918840579710145,,,,,,,
fire_24025610,2020-06-06,fire_24025610_2020-06-05_2020-06-07,1,3.0,4.0,492,250,426,0,426,0,2,0.0,0.004694835680751174,1.0,5,5,0.45,0.9919354838709677,,,,,,,
fire_24025610,2020-06-07,fire_24025610_2020-06-05_2020-06-07,2,4.0,4.0,462,396,396,3,396,1,6,0.3333333333333333,0.015151515151515152,0.9924242424242424,0,0,0.4512205387205387,0.9884615384615384,416.0,4.0,0.009615384615384616,3.0,1.0,0.3333333333333333,0.9927884615384616
fire_24025610,2020-06-06,fire_24025610_2020-06-06_2020-06-08,0,2.0,4.0,492,122,426,0,426,0,2,0.0,0.004694835680751174,1.0,0,0,0.45,0.9833333333333333,,,,,,,
fire_24025610,2020-06-07,fire_24025610_2020-06-06_2020-06-08,1,3.0,4.0,462,228,396,3,396,1,6,0.3333333333333333,0.015151515151515152,0.9924242424242424,0,0,0.4512205387205387,0.9797297297297297,,,,,,,
fire_24025610,2020-06-08,fire_24025610_2020-06-06_2020-06-08,2,4.0,4.0,515,449,449,12,449,1,2,0.08333333333333333,0.004454342984409799,0.9732739420935412,1,1,0.15,0.9798657718120806,426.0,5.0,0.011737089201877934,12.0,1.0,0.08333333333333333,0.971830985915493
fire_24025610,2020-06-07,fire_24025610_2020-06-07_2020-06-09,0,2.0,4.0,462,108,396,3,396,1,6,0.3333333333333333,0.015151515151515152,0.9924242424242424,0,0,0.4512205387205387,0.9558823529411765,,,,,,,
fire_24025610,2020-06-08,fire_24025610_2020-06-07_2020-06-09,1,3.0,4.0,515,269,449,12,449,1,2,0.08333333333333333,0.004454342984409799,0.9732739420935412,1,1,0.15,0.9662921348314607,,,,,,,
fire_24025610,2020-06-09,fire_24025610_2020-06-07_2020-06-09,2,4.0,4.0,507,441,441,1,441,1,2,1.0,0.0045351473922902496,0.9977324263038548,12,12,0.5833333333333334,0.9886104783599089,396.0,4.0,0.010101010101010102,1.0,1.0,1.0,0.9974747474747475
